team_id,team_number,team_octet,public_subnet_cidr,core_transit_cidr,core_router_ip,team_router_ip,targetable,notes
Team1,1,21,172.25.21.0/24,172.31.21.0/29,172.31.21.1,172.31.21.2,yes,
Team2,2,22,172.25.22.0/24,172.31.22.0/29,172.31.22.1,172.31.22.2,yes,
Team3,3,23,172.25.23.0/24,172.31.23.0/29,172.31.23.1,172.31.23.2,yes,
Team4,4,24,172.25.24.0/24,172.31.24.0/29,172.31.24.1,172.31.24.2,yes,
Team5,5,25,172.25.25.0/24,172.31.25.0/29,172.31.25.1,172.31.25.2,yes,
Team6,6,26,172.25.26.0/24,172.31.26.0/29,172.31.26.1,172.31.26.2,yes,
Team7,7,27,172.25.27.0/24,172.31.27.0/29,172.31.27.1,172.31.27.2,yes,
Team8,8,28,172.25.28.0/24,172.31.28.0/29,172.31.28.1,172.31.28.2,yes,
Team9,9,29,172.25.29.0/24,172.31.29.0/29,172.31.29.1,172.31.29.2,yes,
Team10,10,30,172.25.30.0/24,172.31.30.0/29,172.31.30.1,172.31.30.2,yes,
Team11,11,31,172.25.31.0/24,172.31.31.0/29,172.31.31.1,172.31.31.2,yes,
Team12,12,32,172.25.32.0/24,172.31.32.0/29,172.31.32.1,172.31.32.2,yes,
Team13,13,33,172.25.33.0/24,172.31.33.0/29,172.31.33.1,172.31.33.2,yes,
Team14,14,34,172.25.34.0/24,172.31.34.0/29,172.31.34.1,172.31.34.2,yes,
Team15,15,35,172.25.35.0/24,172.31.35.0/29,172.31.35.1,172.31.35.2,yes,
Team16,16,36,172.25.36.0/24,172.31.36.0/29,172.31.36.1,172.31.36.2,yes,
Team17,17,37,172.25.37.0/24,172.31.37.0/29,172.31.37.1,172.31.37.2,yes,
Team18,18,38,172.25.38.0/24,172.31.38.0/29,172.31.38.1,172.31.38.2,yes,
Team19,19,39,172.25.39.0/24,172.31.39.0/29,172.31.39.1,172.31.39.2,no,Do not target
Team20,20,40,172.25.40.0/24,172.31.40.0/29,172.31.40.1,172.31.40.2,yes,
